"country","dtp3","under5_mortality"
"Afghanistan",75,93.9
"Albania",98,14.4
"Algeria",95,25.6
"Andorra",97,2.9
"Angola",80,162.2
"Antigua and Barbuda",99,8.4
"Argentina",94,12.9
"Armenia",93,14.7
"Australia",92,3.9
"Austria",83,3.7
"Azerbaijan",94,32.9
"Bahamas",96,12.4
"Bahrain",99,6.5
"Bangladesh",95,39.5
"Barbados",94,13.3
"Belarus",97,4.7
"Belgium",99,4.2
"Belize",95,17
"Benin",70,102.1
"Bhutan",99,34.4
"Bolivia (Plurinational State of)",94,39.8
"Bosnia and Herzegovina",86,5.7
"Botswana",95,44.8
"Brazil",93,16.2
"Brunei Darussalam",99,10.1
"Bulgaria",88,10.9
"Burkina Faso",91,92.4
"Burundi",95,84.6
"Cote d'Ivoire",67,95.5
"Cabo Verde",95,25.2
"Cambodia",97,30.6
"Cameroon",87,90.6
"Canada",96,5
"Central African Republic",47,134
"Chad",46,142.9
"Chile",92,8.3
"China",99,11.4
"Colombia",90,16.4
"Comoros",80,75.9
"Congo",90,47.1
"Cook Islands",99,8.4
"Costa Rica",91,9.9
"Croatia",95,4.5
"Cuba",96,5.6
"Cyprus",99,2.9
"Czech Republic",99,3.5
"Democratic People's Republic of Korea",93,26.1
"Democratic Republic of the Congo",80,101.7
"Denmark",94,3.6
"Djibouti",78,67.4
"Dominica",97,21.2
"Dominican Republic",91,31.5
"Ecuador",83,22.3
"Egypt",94,24.8
"El Salvador",93,17.4
"Equatorial Guinea",24,97.4
"Eritrea",94,48.1
"Estonia",93,3.2
"Ethiopia",77,61.8
"Fiji",99,22.9
"Finland",98,2.4
"France",99,4.4
"Gabon",70,52.3
"Gambia",96,71.1
"Georgia",91,12.6
"Germany",96,3.8
"Ghana",98,64
"Greece",99,4.6
"Grenada",97,12.2
"Guatemala",73,30.1
"Guinea",51,97
"Guinea-Bissau",80,96.2
"Guyana",98,40.2
"Haiti",48,71
"Honduras",85,21.1
"Hungary",99,6.1
"Iceland",90,2.1
"India",83,49.8
"Indonesia",78,28.2
"Iran (Islamic Republic of)",99,16.1
"Iraq",64,32.9
"Ireland",96,3.7
"Israel",94,4.1
"Italy",94,3.6
"Jamaica",92,16.2
"Japan",98,2.8
"Jordan",98,18.5
"Kazakhstan",95,15.1
"Kenya",81,51.3
"Kiribati",75,57.4
"Kuwait",95,9
"Kyrgyzstan",96,22.6
"Lao People's Democratic Republic",88,69.1
"Latvia",92,8.2
"Lebanon",81,8.6
"Lesotho",96,92
"Liberia",50,72.9
"Libya",94,13.9
"Lithuania",93,5.2
"Luxembourg",99,2
"Madagascar",73,51.5
"Malawi",91,66.9
"Malaysia",97,7.2
"Maldives",99,9.2
"Mali",77,118.3
"Malta",99,6.5
"Marshall Islands",78,37
"Mauritania",84,87.5
"Mauritius",97,13.9
"Mexico",87,13.8
"Micronesia (Federated States of)",81,35.8
"Monaco",99,3.6
"Mongolia",99,23.5
"Montenegro",91,5
"Morocco",99,28.6
"Mozambique",78,81.2
"Myanmar",75,51.7
"Namibia",88,46.4
"Nauru",95,36.3
"Nepal",92,37.4
"Netherlands",96,3.9
"New Zealand",93,5.8
"Nicaragua",98,22.8
"Niger",68,99.6
"Nigeria",66,112.5
"Niue",99,23.6
"Norway",93,2.7
"Oman",99,11.6
"Pakistan",73,83.3
"Palau",95,17
"Panama",80,17.6
"Papua New Guinea",62,59.1
"Paraguay",87,21.2
"Peru",88,17.5
"Philippines",79,28.8
"Poland",99,5.2
"Portugal",98,3.7
"Qatar",99,8.2
"Republic of Korea",99,3.6
"Republic of Moldova",90,16.1
"Romania",94,11.5
"Russian Federation",97,9.9
"Rwanda",99,44.3
"Saint Kitts and Nevis",97,10.9
"Saint Lucia",99,14.7
"Saint Vincent and the Grenadines",98,18.8
"Samoa",91,17.9
"San Marino",80,3
"Sao Tome and Principe",95,49
"Saudi Arabia",98,15
"Senegal",89,49.7
"Serbia",93,6.8
"Seychelles",99,13.8
"Sierra Leone",83,126.4
"Singapore",97,2.8
"Slovakia",97,7.5
"Slovenia",95,2.7
"Solomon Islands",88,28.9
"Somalia",42,141.2
"South Africa",70,41.4
"South Sudan",39,95.6
"Spain",97,4.2
"Sri Lanka",99,10
"Sudan",94,72.2
"Suriname",85,21.9
"Swaziland",98,62.6
"Sweden",98,3
"Switzerland",96,4
"Syrian Arab Republic",43,14.3
"Tajikistan",97,46.3
"Thailand",99,12.6
"The former Yugoslav republic of Macedonia",95,6
"Timor-Leste",77,54.5
"Togo",87,80.8
"Tonga",82,17.1
"Trinidad and Tobago",92,20.9
"Tunisia",98,14.6
"Turkey",96,14.3
"Turkmenistan",98,53.1
"Tuvalu",90,28
"Uganda",78,56.9
"Ukraine",76,9.5
"United Arab Emirates",94,7.1
"United Kingdom of Great Britain and Northern Ireland",95,4.4
"United Republic of Tanzania",97,50.5
"United States of America",94,6.7
"Uruguay",95,10.6
"Uzbekistan",99,40.4
"Vanuatu",64,28.1
"Venezuela (Bolivarian Republic of)",78,15.3
"Viet Nam",95,22.3
"Yemen",88,43.8
"Zambia",86,66.6
"Zimbabwe",91,72.3
