"state","dranksoda","tv_3hours","daily_pe"
"Alabama",33.2,33.1,35.7
"Alaska",15.8,20.5,16
"Arizona",19.7,27.1,23
"Arkansas",31.2,32.8,23
"California",NA,NA,NA
"Colorado",NA,NA,NA
"Connecticut",13.9,24.1,NA
"Delaware",22.2,33.9,13.1
"Florida",22.1,31.2,24.2
"Georgia",24.4,32.2,33.6
"Hawaii",15.8,29.3,7.3
"Idaho",15.4,19.6,22.4
"Illinois",22,29.1,63.6
"Indiana",NA,NA,NA
"Iowa",NA,NA,NA
"Kansas",21.6,25,27.9
"Kentucky",32.9,26.7,19.3
"Louisiana",NA,33.7,33.6
"Maine",NA,23.1,4.5
"Maryland",18,31.4,18.2
"Massachusetts",14.2,25,16.7
"Michigan",19.6,27,26.8
"Minnesota",NA,NA,NA
"Mississippi",37.1,39.5,28.7
"Missouri",23.4,25.6,30.9
"Montana",18.2,22.6,34.9
"Nebraska",22.3,22.8,34.9
"Nevada",17,29.3,25.9
"New Hampshire",NA,NA,18.2
"New Jersey",12.2,28.5,45.2
"New Mexico",21.2,26.4,25.1
"New York",20.4,27.4,18.9
"North Carolina",28,33,NA
"North Dakota",23.4,21,NA
"Ohio",20.5,28.2,NA
"Oklahoma",31.3,31.9,32.2
"Oregon",NA,NA,NA
"Pennsylvania",NA,NA,NA
"Rhode Island",17.4,27.1,25.7
"South Carolina",29.2,33.3,NA
"South Dakota",23.6,23.6,18.5
"Tennessee",32.8,34.1,22.3
"Texas",25,32.9,38.3
"Utah",13.5,14.9,18.6
"Vermont",NA,NA,14.5
"Virginia",21.7,28.2,13.3
"Washington",NA,NA,NA
"West Virginia",38,32.9,30.7
"Wisconsin",19.6,22.5,39.4
"Wyoming",24.3,22.1,23.7
