"state","infant_mortality2010","exclusivebf","teach","discharge"
"AK",5.49,50,62.5,1
"AL",8.83,36.2,55.3,0
"AR",7.4,51.9,63,0
"AZ",6.11,61.1,58.3,0
"CA",4.93,58.2,73.6,1
"CO",6.12,61.9,66.7,1
"CT",5.6,52.2,65.2,0
"DC",9.72,75,75,0
"DE",7.94,28.6,42.9,1
"FL",6.9,54.7,63.2,0
"GA",7.24,50,61.4,0
"HI",5.93,55.6,77.8,0
"IA",5.06,47.3,48.6,0
"ID",5.34,69.2,53.8,0
"IL",6.99,46.8,56,0
"IN",7.42,47.6,48.8,0
"KS",6.89,42.6,33.8,0
"KY",6.86,62.8,60.5,0
"LA",8.48,42.2,64.4,0
"MA",4.84,77.8,88.9,1
"MD",7.35,51.7,65.5,0
"ME",5.52,66.7,70,1
"MI",7.38,57.9,61.8,0
"MN",5.03,58.8,52.9,1
"MO",6.94,44.8,58.6,0
"MS",9.89,47.4,65.8,0
"MT",6.45,50,60,0
"NC",7.76,62,74.6,0
"ND",6.32,41.2,64.7,1
"NE",5.37,58.3,39.6,0
"NH",4.24,78.3,73.9,1
"NJ",5.18,60.9,67.4,0
"NM",5.49,30,55,1
"NV",5.56,53.8,61.5,0
"NY",5.32,77.3,81.8,1
"OH",7.71,53.4,62.1,0
"OK",7.53,36.7,40.8,0
"OR",4.99,52.8,67.9,1
"PA",7.24,54.5,66.3,0
"RI",6.29,80,100,1
"SC",7.47,35.1,56.8,1
"SD",7.38,52.6,63.2,0
"TN",8.01,56.3,65.6,0
"TX",6.1,44.7,48.4,0
"UT",4.94,41.9,51.6,0
"VA",6.95,55.1,61.2,0
"VT",4.99,81.8,81.8,1
"WA",4.96,55.4,58.5,1
"WI",6.26,65.6,63.4,1
"WV",7.6,40.7,40.7,0
"WY",6.61,46.7,40,0
