"neighborhood","noscore","peryouth","pervacant","perownerocc","north"
"Academy",57.1428571428571,29,32,37,1
"Baden",59.0909090909091,26,18,42,1
"Benton Park",71.57666894509,15,20,40,0
"Benton Park West",71.4285714285714,31,30,23,0
"Bevo Mills",85.7142857142857,22,10,55,0
"Botanical Heights",73.9130434782609,31,28,35,0
"Boulevard Heights",78.5714285714286,18,7,78,0
"Carondelet",90.4761904761905,23,19,39,0
"Carr Square",44.03663003663,43,11,0,1
"Central West End",48.9285714285714,7,14,25,0
"Cheltenham",47.6190476190476,13,25,26,0
"Clayton-Tamm",47.6190476190476,11,10,47,0
"Clifton Heights",81.8181818181818,17,8,69,0
"College Hill",57.8947368421053,30,38,26,1
"Columbus Square",23.0769230769231,35,22,6,1
"Compton Heights",75,17,15,52,0
"Covenant Blu Grand Center",60,21,10,6,1
"DeBaliviere Place",81.8181818181818,7,16,27,0
"Downtown",86.9565217391304,4,23,12,0
"Downtown West",86.9565217391304,6,41,16,0
"Dutchtown",61.7948717948718,28,23,29,0
"Ellendale",66.6666666666667,18,9,61,0
"Fairground",45,23,33,29,1
"Forest Park",64.7186147186147,NA,NA,NA,0
"Forest Park Southeast",87.5,21,28,25,0
"Fountain Park",52.3809523809524,29,26,22,1
"Fox Park",76.1904761904762,28,25,33,0
"Franz Park",81.8181818181818,14,9,59,0
"Gravois Park",63.1578947368421,33,31,22,0
"Hamilton Heights",70,29,31,29,1
"Hi-Pointe",81.8181818181818,12,12,43,0
"Holly Hills",71.4285714285714,21,8,52,0
"Hyde Park",53.1149885583524,32,46,20,1
"JeffVanderLou",58.8888888888889,29,26,22,1
"Kings Oak",55,17,12,46,0
"Kingsway East",52.3809523809524,27,26,34,1
"Kingsway West",57.1428571428571,21,31,29,1
"Kosciusko",80.952380952381,21,73,7,0
"LaSalle Park",48.2295482295482,29,13,25,0
"Lafayette Square",80.952380952381,10,11,49,0
"Lewis Place",52.3809523809524,30,32,27,1
"Lindenwood Park",86.3636363636364,16,9,63,0
"Marine Villa",59.0909090909091,29,22,26,0
"Mark Twain",64.2857142857143,24,18,46,1
"Mark Twain I-70 Industrial",75,25,13,67,1
"McKinley Heights",80.952380952381,20,28,25,0
"Midtown",60,2,22,1,0
"Mount Pleasant",61.1842105263158,25,18,23,0
"Near North Riverfront",57.8947368421053,2,36,27,1
"North Hampton",86.3636363636364,15,10,40,0
"North Pointe",69.2307692307692,22,8,73,1
"North Riverfront",90.4761904761905,10,67,28,1
"O'Fallon",90.4761904761905,27,10,59,1
"Old North St. Louis",49.2307692307692,33,22,14,1
"Patch",76.4492753623188,23,19,38,0
"Peabody Darst Webbe",73.4798534798535,41,8,14,0
"Penrose",67.8571428571429,25,20,45,1
"Princeton Heights",85.7142857142857,17,8,64,0
"Riverview",59.0909090909091,29,18,41,1
"Shaw",72.4358974358974,22,19,36,0
"Skinker DeBaliviere",59.9358974358974,14,11,42,0
"Soulard",82.9761904761905,9,16,22,0
"Southampton",86.3636363636364,18,9,60,0
"Southwest Garden",66.6666666666667,13,13,40,0
"St. Louis Hills",77.045177045177,18,8,52,0
"St. Louis Place",52.3809523809524,31,24,25,1
"The Gate District",63.003663003663,24,12,36,0
"The Greater Ville",15.3846153846154,28,33,28,1
"The Hill",70,14,11,56,0
"The Ville",42.8571428571429,23,40,19,1
"Tiffany",73.9130434782609,28,15,20,0
"Tower Grove East",61.5384615384615,21,21,34,0
"Tower Grove South",45,20,15,41,0
"Vandeventer",93.3333333333333,27,29,33,1
"Visitation Park",84.2105263157895,24,29,19,1
"Walnut Park East",75,30,27,39,1
"Walnut Park West",69.2307692307692,26,20,49,1
"Wells Goodfellow",72.7272727272727,30,36,27,1
"West End",61.7261904761905,27,27,22,0
"Wydown Skinker",47.6190476190476,8,12,43,0
