ID,could_defendant_retreat,defendant_pursue,outcome,weapon_victim,initiator,race_victim
1,yes,yes,0,unarmed,2,2
2,yes,yes,0,unarmed,1,1
4,no,no,0,unarmed,1,2
5,yes,no,1,unarmed,2,1
6,no,no,0,weapon used,1,2
7,yes,yes,0,unarmed,2,2
9,no,no,0,unarmed,2,2
10,yes,unclear,1,unarmed,3,2
11,no,no,0,unarmed,1,2
12,no,no,0,unarmed,1,1
13,unclear,unclear,0,unarmed,1,1
14,yes,yes,0,weapon used,1,1
15,yes,yes,1,unarmed,1,2
16,yes,yes,0,unarmed,1,2
18,yes,yes,0,unarmed,2,1
19,unclear,no,0,weapon used,3,1
20,no,no,0,unarmed,3,1
21,unclear,no,0,weapon used,1,1
22,yes,unclear,0,unarmed,3,2
24,no,no,0,unarmed,1,2
25,no,no,0,weapon used,1,1
26,yes,no,0,weapon used,1,1
27,unclear,unclear,0,unarmed,1,1
28,unclear,unclear,1,unarmed,3,1
29,yes,unclear,0,unarmed,2,1
30,unclear,unclear,0,unarmed,3,1
31,yes,no,1,unarmed,2,2
33,yes,no,0,unarmed,2,1
34,unclear,no,0,unarmed,3,1
35,yes,yes,0,unarmed,2,2
36,yes,yes,1,unarmed,2,2
37,yes,no,1,unarmed,2,1
38,unclear,unclear,0,unarmed,2,2
39,no,no,1,unarmed,2,2
41,yes,no,0,unarmed,1,1
42,yes,yes,1,unarmed,2,1
45,no,no,0,weapon used,1,2
46,yes,no,1,weapon used,3,1
47,unclear,unclear,0,weapon used,3,1
48,unclear,yes,0,weapon used,3,1
49,yes,yes,0,unarmed,1,2
51,no,no,0,weapon used,1,1
52,unclear,no,1,unarmed,3,1
53,yes,yes,0,unarmed,3,1
54,yes,yes,1,unarmed,3,2
55,yes,no,0,weapon used,1,1
56,unclear,no,0,unarmed,3,2
57,no,yes,1,unarmed,2,1
58,yes,yes,1,unarmed,2,1
59,no,no,1,unarmed,2,2
60,unclear,unclear,0,unarmed,3,2
61,yes,yes,1,unarmed,2,2
62,yes,unclear,1,unarmed,3,2
63,yes,no,1,unarmed,1,2
64,yes,no,0,weapon used,3,2
65,yes,unclear,0,weapon used,3,1
66,unclear,unclear,0,weapon used,3,1
67,unclear,unclear,0,unarmed,3,2
68,yes,no,0,unarmed,1,2
69,yes,no,1,unarmed,1,2
70,yes,yes,1,unarmed,2,2
71,yes,yes,1,weapon used,2,2
72,yes,unclear,1,unarmed,3,1
73,yes,yes,1,unarmed,2,1
74,unclear,unclear,1,unarmed,3,2
75,yes,yes,0,weapon used,1,1
76,unclear,no,0,unarmed,1,1
77,unclear,no,1,unarmed,3,2
78,yes,yes,1,unarmed,3,2
80,yes,no,0,unarmed,1,1
83,yes,yes,0,unarmed,2,2
86,yes,no,1,unarmed,1,2
87,yes,yes,0,unarmed,3,1
89,unclear,yes,0,unarmed,2,1
90,unclear,no,0,unarmed,1,2
91,yes,no,0,unarmed,1,1
93,yes,yes,1,unarmed,2,2
94,yes,yes,1,unarmed,2,2
95,yes,unclear,0,weapon used,3,1
96,unclear,no,0,weapon used,2,1
97,no,no,0,unarmed,1,2
98,no,no,0,weapon used,1,2
99,yes,yes,1,unarmed,2,2
100,yes,no,1,unarmed,3,2
101,yes,yes,1,unarmed,3,1
102,yes,no,1,unarmed,2,1
103,yes,no,0,unarmed,2,1
105,unclear,unclear,0,unarmed,3,2
106,unclear,no,0,unarmed,2,2
107,unclear,unclear,0,unarmed,3,2
108,yes,yes,1,unarmed,2,1
