"zip","visits"
63155,0
63045,2
63386,8
63140,12
63038,43
63040,55
63127,58
63101,70
63102,79
63144,81
63005,111
63117,114
63025,120
63124,121
63088,124
63105,149
63131,149
63143,171
63126,196
63069,208
63141,232
63044,234
63049,254
63132,257
63103,273
63043,313
63139,316
63133,330
63109,341
63128,351
63147,361
63110,362
63122,370
63011,372
63119,374
63074,381
63120,381
63034,383
63108,384
63113,404
63104,417
63146,418
63017,430
63107,430
63106,464
63042,485
63021,492
63111,492
63125,508
63010,509
63134,526
63129,532
63304,549
63112,551
63123,565
63026,586
63130,596
63135,650
63303,663
63138,684
63137,692
63116,713
63118,731
63114,746
63115,819
63121,887
63301,927
63031,954
63033,1110
63136,1831
